village,ticket_1,vote_1,ticket_2,vote_2
臺北市北投區,62765,41.32%,89102,58.67%
臺北市士林區,77637,43.92%,99112,56.07%
臺北市內湖區,54513,34.40%,103929,65.59%
臺北市南港區,25955,37.08%,44034,62.91%
臺北市松山區,43797,34.53%,83015,65.46%
臺北市信義區,47840,33.36%,95552,66.63%
臺北市中山區,54839,40.71%,79864,59.28%
臺北市大同區,39281,50.67%,38230,49.32%
臺北市中正區,31797,33.73%,62472,66.26%
臺北市萬華區,50991,41.84%,70880,58.15%
臺北市大安區,59474,31.41%,129870,68.58%
臺北市文山區,44367,27.75%,115486,72.24%
高雄市楠梓區,45513,46.49%,52383,53.50%
高雄市左營區,43068,39.53%,65870,60.46%
高雄市鼓山區,34545,46.11%,40363,53.88%
高雄市鹽埕區,9769,53.75%,8403,46.24%
高雄市旗津區,9962,57.76%,7283,42.23%
高雄市三民區,108182,50.63%,105483,49.36%
高雄市前金區,9274,49.04%,9634,50.95%
高雄市新興區,17498,49.05%,18170,50.94%
高雄市苓雅區,54887,47.15%,61506,52.84%
高雄市前鎮區,62417,51.52%,58718,48.47%
高雄市小港區,45252,52.19%,41439,47.80%
臺北縣板橋市,136964,42.00%,189109,57.99%
臺北縣三重市,107823,47.03%,121441,52.96%
臺北縣中和市,82944,32.20%,174613,67.79%
臺北縣永和市,40410,27.87%,104558,72.12%
臺北縣新莊市,97044,43.42%,126440,56.57%
臺北縣新店市,49830,27.67%,130218,72.32%
臺北縣土城市,53028,39.52%,81127,60.47%
臺北縣蘆洲市,50205,47.22%,56097,52.77%
臺北縣汐止市,38282,35.39%,69863,64.60%
臺北縣樹林市,39077,42.77%,52285,57.22%
臺北縣鶯歌鎮,19876,42.24%,27178,57.75%
臺北縣三峽鎮,20650,40.71%,30067,59.28%
臺北縣淡水鎮,28606,37.25%,48182,62.74%
臺北縣瑞芳鎮,9006,36.44%,15707,63.55%
臺北縣五股鄉,19119,44.19%,24139,55.80%
臺北縣泰山鄉,17068,40.48%,25096,59.51%
臺北縣林口鄉,14181,39.02%,22155,60.97%
臺北縣深坑鄉,4955,37.59%,8224,62.40%
臺北縣石碇鄉,2517,52.78%,2251,47.21%
臺北縣坪林鄉,2326,58.58%,1644,41.41%
臺北縣三芝鄉,4435,34.44%,8440,65.55%
臺北縣石門鄉,2377,35.46%,4325,64.53%
臺北縣八里鄉,7378,39.98%,11074,60.01%
臺北縣平溪鄉,1590,46.61%,1821,53.38%
臺北縣雙溪鄉,2438,42.54%,3292,57.45%
臺北縣貢寮鄉,4309,54.97%,3529,45.02%
臺北縣金山鄉,5015,40.99%,7217,59.00%
臺北縣萬里鄉,4510,38.50%,7203,61.49%
臺北縣烏來鄉,952,30.94%,2124,69.05%
宜蘭縣宜蘭市,22372,42.61%,30124,57.38%
宜蘭縣羅東鎮,19125,48.52%,20285,51.47%
宜蘭縣蘇澳鎮,11838,49.45%,12097,50.54%
