town,ticket_1,ticket_2,distance,rank
雲林縣斗六市,27064,30486,0.2161,1
雲林縣麥寮鄉,8194,9204,0.2486,2
桃園縣蘆竹鄉,35019,39773,0.2766,3
新北市八里區,9147,10260,0.3689,4
彰化縣田中鎮,11132,12416,0.4801,5
彰化縣和美鎮,23339,26618,0.5029,6
桃園縣大溪鎮,23630,26306,0.539,7
臺中市太平區,45008,51045,0.5455,8
彰化縣大村鄉,9591,10646,0.6515,9
臺中市龍井區,18392,21138,0.6592,10
臺南市楠西區,2682,3086,0.6981,11
臺中市梧棲區,14138,15648,0.7577,12
苗栗縣通霄鎮,10026,11058,0.8728,13
新北市泰山區,20410,22501,0.8801,14
臺北市士林區,82052,90454,0.9841,15
臺中市大甲區,20133,22098,1.0209,16
新北市土城區,61496,71744,1.0779,17
新北市板橋區,155253,169703,1.1611,18
宜蘭縣宜蘭市,24498,26570,1.4367,19
南投縣鹿谷鄉,4845,5718,1.4594,20
新北市萬里區,5712,6742,1.4638,21
臺北市萬華區,53436,63091,1.4848,22
臺南市東區,50892,55097,1.4988,23
新北市三峽區,25257,29844,1.5137,24
臺中市潭子區,27071,29340,1.6093,25
高雄市甲仙區,1761,1908,1.6753,26
彰化縣溪湖鎮,13338,15846,1.6906,27
臺中市南區,29525,35089,1.7298,28
新竹市香山區,19614,20995,1.9077,29
臺中市石岡區,4201,5020,1.9181,30
雲林縣臺西鄉,5958,6368,1.9399,31
臺中市大肚區,14193,16985,1.9535,32
臺中市大里區,52525,56323,2.0265,33
南投縣魚池鄉,4330,4614,2.04,34
彰化縣北斗鎮,8700,9252,2.1076,35
新北市樹林區,48257,51328,2.1123,36
臺中市大安區,5575,5953,2.1219,37
臺中市烏日區,18793,19969,2.2084,38
臺中市后里區,14651,15548,2.2595,39
新北市雙溪區,2709,2872,2.2773,40
南投縣集集鎮,2945,3552,2.2961,41
臺中市西區,29425,35773,2.4854,42
澎湖縣白沙鄉,1840,1994,2.4943,43
臺中市中區,5239,5514,2.5076,44
臺中市霧峰區,17939,18985,2.5114,45
彰化縣員林鎮,30309,36982,2.5956,46
澎湖縣馬公市,12371,14786,2.6342,47
新北市金山區,6087,6385,2.6348,48
彰化縣永靖鄉,10415,10917,2.6355,49
臺北市北投區,66986,81708,2.6455,50
新北市鶯歌區,23297,24386,2.656,51
臺中市東勢區,13635,16663,2.6927,52
臺中市沙鹿區,20296,24885,2.7627,53
彰化縣彰化市,58808,72275,2.8502,54
臺中市大雅區,21810,26805,2.8552,55
彰化縣大城鄉,4057,5000,2.9755,56
屏東縣屏東市,58083,60201,3.0618,57
彰化縣伸港鄉,8687,10806,3.2567,58
彰化縣田尾鄉,7551,7753,3.3179,59
苗栗縣卓蘭鎮,5184,5325,3.3239,60
南投縣中寮鄉,4418,4498,3.6072,61
高雄市左營區,47560,59710,3.6143,62
雲林縣虎尾鎮,18522,18784,3.7421,63
嘉義縣大埔鄉,948,961,3.7653,64
嘉義市東區,33803,33958,4.0595,65
南投縣水里鄉,4600,5872,4.1199,66
彰化縣花壇鄉,11236,14364,4.1799,67
臺北市中山區,58439,74867,4.2569,68
臺中市東區,21672,21650,4.2813,69
彰化縣秀水鄉,10897,10878,4.2852,70
新北市新莊區,113885,113146,4.4412,71
新北市五股區,22314,22154,4.469,72
南投縣草屯鎮,24009,31018,4.5308,73
彰化縣二林鎮,12075,15603,4.5471,74
桃園縣大園鄉,21905,21679,4.575,75
高雄市鼓山區,38714,38288,4.6391,76
臺中市清水區,23870,23508,4.7529,77
南投縣竹山鎮,15801,15548,4.8325,78
臺中市南屯區,35777,46962,5.0671,79
桃園縣龜山鄉,32298,42689,5.2892,80
臺中市豐原區,47675,46174,5.3202,81
新北市石門區,2952,3896,5.3248,82
臺中市新社區,7487,7224,5.4523,83
新北市林口區,19638,26061,5.4535,84
新竹市北區,34624,45997,5.4558,85
臺中市外埔區,7583,10084,5.5027,86
宜蘭縣頭城鎮,6928,9249,5.627,87
新北市瑞芳區,10241,13697,5.6876,88
臺中市北屯區,58981,79093,5.7767,89
彰化縣埔鹽鄉,8032,10771,5.8179,90
新北市深坑區,5799,7847,6.0776,91
高雄市楠梓區,50536,47855,6.123,92
基隆市仁愛區,11291,15308,6.1523,93
臺南市南化區,2515,2382,6.183,94
高雄市苓雅區,56730,53341,6.3748,95
臺南市玉井區,4348,4074,6.456,96
彰化縣社頭鄉,12814,11926,6.6893,97
臺中市北區,34635,47889,6.8021,98
新北市淡水區,35103,48506,6.8025,99
桃園縣桃園市,91421,126560,6.8426,100
桃園縣新屋鄉,14258,13175,6.9372,101
彰化縣埔心鄉,10141,9366,6.9511,102
高雄市鳳山區,103396,95531,6.9515,103
苗栗縣後龍鎮,8766,12159,6.9758,104
臺南市北區,39911,36636,7.1643,105
澎湖縣西嶼鄉,1908,1768,7.1681,106
彰化縣二水鄉,4966,4558,7.1892,107
新北市三芝區,5337,7468,7.3293,108
高雄市岡山區,29593,26952,7.4277,109
彰化縣鹿港鎮,25150,22863,7.5035,110
高雄市前金區,9254,8412,7.5111,111
高雄市美濃區,13084,11808,7.743,112
南投縣南投市,23513,33451,7.759,113
臺中市西屯區,46854,66724,7.7654,114
彰化縣埤頭鄉,8612,7764,7.827,115
新竹縣峨眉鄉,1493,2135,7.9109,116
南投縣國姓鄉,4457,6374,7.935,117
臺南市安平區,17802,15973,7.948,118
高雄市新興區,17424,15576,8.0911,119
宜蘭縣羅東鎮,20341,18093,8.2589,120
