town,vote_1,vote_2,distance,rank
臺中市霧峰區,41.52%,58.47%,0.0424,1
桃園縣蘆竹鄉,41.45%,58.54%,0.1414,2
臺中市大里區,41.69%,58.30%,0.198,3
臺中市大安區,41.70%,58.29%,0.2121,4
苗栗縣通霄鎮,41.71%,58.28%,0.2263,5
臺中市潭子區,41.39%,58.60%,0.2263,6
高雄市甲仙區,41.75%,58.24%,0.2828,7
臺北市北投區,41.32%,58.67%,0.3253,8
臺中市后里區,41.30%,58.69%,0.3536,9
臺北市萬華區,41.84%,58.15%,0.4101,10
臺中市大甲區,41.24%,58.75%,0.4384,11
臺中市烏日區,41.96%,58.03%,0.5798,12
雲林縣斗六市,41.99%,58.00%,0.6223,13
新北市板橋區,42.00%,57.99%,0.6364,14
彰化縣大村鄉,41.05%,58.94%,0.7071,15
新竹市香山區,42.07%,57.92%,0.7354,16
新北市金山區,40.99%,59.00%,0.792,17
臺南市南化區,42.13%,57.86%,0.8202,18
桃園縣大溪鎮,42.15%,57.84%,0.8485,19
彰化縣田中鎮,42.18%,57.81%,0.891,20
新北市鶯歌區,42.24%,57.75%,0.9758,21
臺北市中山區,40.71%,59.28%,1.1879,22
新北市三峽區,40.71%,59.28%,1.1879,23
雲林縣台西鄉,40.69%,59.30%,1.2162,24
彰化縣永靖鄉,42.42%,57.57%,1.2304,25
臺中市新社區,42.50%,57.49%,1.3435,26
新北市雙溪區,42.54%,57.45%,1.4001,27
宜蘭縣宜蘭市,42.61%,57.38%,1.4991,28
新北市泰山區,40.48%,59.51%,1.5132,29
臺南市東區,42.68%,57.31%,1.5981,30
彰化縣溪湖鎮,40.40%,59.59%,1.6263,31
彰化縣和美鎮,40.34%,59.65%,1.7112,32
新北市樹林區,42.77%,57.22%,1.7253,33
雲林縣麥寮鄉,40.32%,59.67%,1.7395,34
臺中市梧棲區,40.29%,59.70%,1.7819,35
臺中市太平區,40.18%,59.81%,1.9375,36
南投縣魚池鄉,43.00%,56.99%,2.0506,37
南投縣鹿谷鄉,39.99%,60.00%,2.2062,38
新北市八里區,39.98%,60.01%,2.2203,39
臺中市龍井區,39.98%,60.01%,2.2203,40
臺中市南區,39.97%,60.02%,2.2345,41
彰化縣員林鎮,39.88%,60.11%,2.3617,42
南投縣中寮鄉,43.25%,56.74%,2.4042,43
彰化縣彰化市,39.83%,60.16%,2.4324,44
臺中市西區,39.79%,60.20%,2.489,45
新北市新莊區,43.42%,56.57%,2.6446,46
彰化縣田尾鄉,43.45%,56.54%,2.687,47
澎湖縣西嶼鄉,43.45%,56.54%,2.687,48
高雄市左營區,39.53%,60.46%,2.8567,49
新北市土城區,39.52%,60.47%,2.8709,50
澎湖縣馬公市,39.52%,60.47%,2.8709,51
南投縣集集鎮,39.44%,60.55%,2.984,52
苗栗縣卓蘭鎮,43.70%,56.29%,3.0406,53
彰化縣大城鄉,39.39%,60.60%,3.0547,54
臺南市玉井區,43.72%,56.27%,3.0688,55
彰化縣北斗鎮,43.81%,56.18%,3.1961,56
臺中市中區,43.85%,56.14%,3.2527,57
澎湖縣白沙鄉,43.86%,56.13%,3.2668,58
臺北市士林區,43.92%,56.07%,3.3517,59
新北市林口區,39.02%,60.97%,3.578,60
臺中市清水區,44.09%,55.90%,3.5921,61
屏東縣屏東市,44.11%,55.88%,3.6204,62
臺中市大肚區,38.95%,61.04%,3.677,63
新北市五股區,44.19%,55.80%,3.7335,64
臺中市沙鹿區,38.90%,61.09%,3.7477,65
臺中市東區,44.27%,55.72%,3.8467,66
彰化縣花壇鄉,38.81%,61.18%,3.8749,67
南投縣竹山鎮,44.48%,55.51%,4.1436,68
桃園縣大園鄉,44.50%,55.49%,4.1719,69
新北市萬里區,38.50%,61.49%,4.3134,70
臺中市豐原區,44.68%,55.31%,4.4265,71
雲林縣虎尾鎮,44.71%,55.28%,4.4689,72
彰化縣伸港鄉,38.25%,61.74%,4.6669,73
臺中市大雅區,38.23%,61.76%,4.6952,74
彰化縣二林鎮,38.08%,61.91%,4.9073,75
南投縣水里鄉,38.08%,61.91%,4.9073,76
南投縣草屯鎮,38.00%,61.99%,5.0205,77
嘉義市東區,45.26%,54.73%,5.2467,78
嘉義縣大埔鄉,37.78%,62.21%,5.3316,79
彰化縣秀水鄉,45.36%,54.63%,5.3882,80
新竹市北區,37.72%,62.27%,5.4164,81
臺中市石岡區,37.61%,62.38%,5.572,82
臺中市南屯區,37.61%,62.38%,5.572,83
新北市深坑區,37.59%,62.40%,5.6003,84
桃園縣新屋鄉,45.80%,54.19%,6.0104,85
彰化縣社頭鄉,45.81%,54.18%,6.0245,86
新北市淡水區,37.25%,62.74%,6.0811,87
彰化縣埔鹽鄉,37.20%,62.79%,6.1518,88
宜蘭縣頭城鎮,37.17%,62.82%,6.1943,89
臺中市北屯區,37.17%,62.82%,6.1943,90
臺北市南港區,37.08%,62.91%,6.3215,91
臺南市楠西區,37.01%,62.98%,6.4205,92
高雄市鼓山區,46.11%,53.88%,6.4488,93
桃園縣龜山鄉,36.95%,63.04%,6.5054,94
臺中市東勢區,36.86%,63.13%,6.6327,95
臺中市北區,36.86%,63.13%,6.6327,96
彰化縣埔心鄉,46.41%,53.58%,6.8731,97
高雄市美濃區,46.45%,53.54%,6.9296,98
桃園縣桃園市,36.64%,63.35%,6.9438,99
高雄市楠梓區,46.49%,53.50%,6.9862,100
屏東縣鹽埔鄉,46.51%,53.48%,7.0145,101
基隆市仁愛區,36.55%,63.44%,7.0711,102
新北市平溪區,46.61%,53.38%,7.1559,103
雲林縣林內鄉,46.62%,53.37%,7.1701,104
新北市瑞芳區,36.44%,63.55%,7.2266,105
屏東縣恆春鎮,46.73%,53.26%,7.3256,106
臺南市安平區,46.79%,53.20%,7.4105,107
新竹縣峨眉鄉,36.21%,63.78%,7.5519,108
彰化縣福興鄉,46.91%,53.08%,7.5802,109
高雄市鳳山區,46.91%,53.08%,7.5802,110
苗栗縣後龍鎮,36.17%,63.82%,7.6085,111
臺中市西屯區,36.16%,63.83%,7.6226,112
臺南市北區,46.97%,53.02%,7.665,113
新北市三重區,47.03%,52.96%,7.7499,114
南投縣埔里鎮,35.99%,64.00%,7.863,115
