town,vote_1,vote_2,vote_3,distance,rank
彰化縣田中鎮,30.7908%,56.5653%,12.6439%,0.5467,1
臺中市新社區,30.5476%,56.6957%,12.7567%,0.7621,2
新北市八里區,31.7212%,55.5261%,12.7526%,0.908,3
新北市三峽區,31.5738%,55.2555%,13.1707%,1.0685,4
雲林縣斗六市,30.212%,56.2742%,13.5138%,1.0786,5
苗栗縣卓蘭鎮,30.2767%,56.9083%,12.815%,1.0976,6
臺中市中區,30.1643%,56.1514%,13.6843%,1.2168,7
新北市土城區,31.1523%,57.0079%,11.8398%,1.3422,8
南投縣魚池鄉,29.9215%,56.7646%,13.3139%,1.3752,9
苗栗縣通霄鎮,29.9922%,56.1982%,13.8096%,1.4297,10
桃園市大溪區,32.2156%,55.4279%,12.3566%,1.4473,11
彰化縣北斗鎮,29.7749%,56.3006%,13.9245%,1.6761,12
桃園市蘆竹區,29.5803%,57.0644%,13.3553%,1.8133,13
臺南市玉井區,29.7933%,57.5339%,12.6728%,1.8924,14
臺中市西區,30.8513%,54.8831%,14.2656%,1.8968,15
嘉義市東區,30.0741%,57.6706%,12.2553%,1.9181,16
宜蘭縣宜蘭市,29.4515%,57.3708%,13.1777%,2.0498,17
臺中市大甲區,29.5011%,57.6956%,12.8033%,2.2027,18
雲林縣虎尾鎮,29.2997%,57.4135%,13.2869%,2.2139,19
新北市泰山區,29.8782%,58.0186%,12.1032%,2.3446,20
彰化縣員林市,30.3246%,54.9133%,14.762%,2.3795,21
彰化縣田尾鄉,29.1725%,57.6075%,13.22%,2.4176,22
新北市板橋區,31.1287%,57.8259%,11.0454%,2.4776,23
臺中市后里區,29.3893%,55.8485%,14.7622%,2.5482,24
南投縣竹山鎮,29.3396%,58.0157%,12.6447%,2.5541,25
臺中市石岡區,32.6655%,54.1048%,13.2297%,2.6182,26
新北市樹林區,29.4817%,58.19%,12.3283%,2.641,27
彰化縣二水鄉,29.294%,58.2176%,12.4884%,2.7517,28
南投縣中寮鄉,28.7489%,56.9907%,14.2604%,2.8328,29
雲林縣麥寮鄉,29.553%,55.285%,15.1619%,2.8809,30
臺中市南區,29.7868%,54.9919%,15.2212%,2.9177,31
新北市鶯歌區,28.8377%,58.0766%,13.0857%,2.9561,32
臺中市大安區,30.7101%,58.3919%,10.898%,3.0069,33
屏東縣屏東市,32.0389%,57.5686%,10.3925%,3.0144,34
臺中市龍井區,29.3831%,55.3676%,15.2494%,3.0194,35
高雄市甲仙區,32.6615%,53.6788%,13.6596%,3.0431,36
臺南市東區,29.3154%,58.8901%,11.7944%,3.4265,37
臺中市東區,28.2109%,57.3757%,14.4134%,3.4722,38
雲林縣東勢鄉,29.1423%,58.8954%,11.9623%,3.4748,39
高雄市左營區,33.837%,54.2379%,11.9251%,3.4932,40
南投縣鹿谷鄉,31.3659%,53.4611%,15.1731%,3.5524,41
桃園市龜山區,32.9202%,53.212%,13.8679%,3.6122,42
彰化縣和美鎮,28.8282%,55.5195%,15.6524%,3.628,43
彰化縣大村鄉,28.0852%,57.4071%,14.5077%,3.6289,44
臺中市烏日區,28.3342%,56.398%,15.2678%,3.6459,45
臺中市大肚區,30.1868%,54.0751%,15.7382%,3.6482,46
彰化縣溪湖鎮,29.491%,54.6526%,15.8564%,3.6948,47
彰化縣花壇鄉,31.0558%,53.4866%,15.4576%,3.7131,48
彰化縣永靖鄉,28.0004%,58.0197%,13.9799%,3.7613,49
高雄市美濃區,29.8709%,59.1664%,10.9628%,3.7645,50
臺中市太平區,28.6335%,55.564%,15.8025%,3.857,51
臺中市大雅區,30.7275%,53.5368%,15.7357%,3.893,52
臺中市南屯區,30.7086%,53.5467%,15.7447%,3.8947,53
彰化縣秀水鄉,27.8652%,57.9078%,14.2269%,3.8986,54
新北市平溪區,31.5672%,58.5773%,9.8555%,3.9017,55
新北市萬里區,34.227%,54.4969%,11.2762%,3.9034,56
桃園市桃園區,32.8659%,52.9432%,14.1909%,3.9052,57
南投縣草屯鎮,30.4603%,53.689%,15.8507%,3.9128,58
雲林縣臺西鄉,32.1568%,52.9601%,14.8831%,3.9251,59
桃園市大園區,28.0612%,58.6592%,13.2796%,3.9388,60
高雄市鼓山區,30.0938%,59.2727%,10.6335%,3.9628,61
臺北市北投區,33.978%,55.982%,10.0401%,4.0608,62
臺中市潭子區,28.2965%,55.8688%,15.8347%,4.0692,63
南投縣集集鎮,31.0304%,53.2412%,15.7284%,4.078,64
臺北市士林區,32.1349%,58.3033%,9.5618%,4.0881,65
臺中市沙鹿區,29.311%,54.5059%,16.183%,4.0952,66
桃園市新屋區,28.3836%,59.2221%,12.3943%,4.1083,67
臺中市梧棲區,27.6731%,57.9564%,14.3705%,4.1293,68
臺中市清水區,28.1533%,59.0765%,12.7702%,4.1327,69
新北市金山區,31.0715%,59.0457%,9.8827%,4.1601,70
嘉義縣大埔鄉,27.6998%,57.169%,15.1312%,4.1841,71
彰化縣彰化市,29.6762%,54.0886%,16.2352%,4.185,72
新北市五股區,28.7341%,59.5427%,11.7232%,4.2754,73
彰化縣大城鄉,31.087%,53.0709%,15.8421%,4.2792,74
宜蘭縣頭城鎮,31.7516%,52.7932%,15.4552%,4.2911,75
彰化縣伸港鄉,30.4821%,53.3896%,16.1283%,4.3104,76
臺北市中山區,34.5203%,54.9682%,10.5115%,4.3429,77
臺北市萬華區,34.5538%,55.2025%,10.2437%,4.4642,78
屏東縣琉球鄉,33.0462%,52.3967%,14.5571%,4.5647,79
彰化縣二林鎮,33.1034%,52.3501%,14.5464%,4.624,80
臺中市外埔區,33.663%,52.3804%,13.9567%,4.7023,81
新竹市北區,31.1269%,52.7061%,16.167%,4.7677,82
臺中市霧峰區,27.9053%,55.5756%,16.5191%,4.864,83
臺中市豐原區,27.2404%,59.1012%,13.6584%,4.8984,84
新竹市香山區,27.3239%,56.2232%,16.4529%,5.1839,85
苗栗縣後龍鎮,33.9417%,51.841%,14.2173%,5.3504,86
高雄市楠梓區,28.3277%,60.5111%,11.1612%,5.4274,87
彰化縣埤頭鄉,27.1394%,59.909%,12.9516%,5.4391,88
彰化縣社頭鄉,27.1925%,60.0381%,12.7694%,5.4918,89
新北市雙溪區,35.5468%,54.3681%,10.0851%,5.5651,90
基隆市仁愛區,33.2233%,51.5771%,15.1996%,5.5653,91
基隆市七堵區,32.7674%,51.5245%,15.7081%,5.6858,92
臺中市北區,33.1145%,51.4721%,15.4134%,5.7034,93
屏東縣滿州鄉,27.4066%,60.4757%,12.1178%,5.718,94
新北市林口區,34.299%,51.5853%,14.1157%,5.7282,95
新北市瑞芳區,35.0378%,52.0138%,12.9484%,5.7319,96
彰化縣埔鹽鄉,33.3391%,51.4135%,15.2474%,5.7648,97
臺南市南化區,26.4855%,57.3669%,16.1476%,5.7653,98
臺中市東勢區,34.5997%,51.6394%,13.761%,5.7962,99
新北市新莊區,27.3901%,60.5723%,12.0375%,5.8128,100
臺中市西屯區,32.6477%,51.4282%,15.9241%,5.8403,101
高雄市苓雅區,28.8464%,60.9281%,10.2255%,5.8962,102
臺中市北屯區,32.4403%,51.4235%,16.1361%,5.9061,103
高雄市前金區,28.9965%,60.9625%,10.041%,5.9548,104
臺南市楠西區,31.625%,51.6372%,16.7378%,5.9691,105
臺中市大里區,26.1549%,57.6882%,16.1568%,6.1094,106
彰化縣鹿港鎮,26.2738%,59.8125%,13.9137%,6.1241,107
新北市深坑區,35.8417%,52.4249%,11.7334%,6.1591,108
屏東縣恆春鎮,27.755%,61.1111%,11.1338%,6.214,109
高雄市岡山區,27.1656%,60.9182%,11.9162%,6.236,110
南投縣水里鄉,32.3756%,51.1471%,16.4773%,6.3042,111
臺北市南港區,36.0663%,52.29%,11.6437%,6.4315,112
高雄市鳳山區,27.3269%,61.2961%,11.377%,6.536,113
高雄市新興區,28.6028%,61.4552%,9.9421%,6.5423,114
彰化縣福興鄉,25.8233%,59.8757%,14.301%,6.5919,115
雲林縣褒忠鄉,27.0915%,61.3929%,11.5157%,6.7192,116
澎湖縣西嶼鄉,26.6036%,55.4242%,17.9722%,6.8195,117
新北市汐止區,36.0768%,51.4959%,12.4273%,6.85,118
新北市淡水區,36.52%,52.3489%,11.1311%,6.8682,119
嘉義縣布袋鎮,27.0374%,61.8943%,11.0683%,7.2458,120
新北市三重區,26.7015%,61.8721%,11.4264%,7.3422,121
南投縣埔里鎮,33.9575%,50.0759%,15.9665%,7.4039,122
嘉義市西區,26.1661%,61.7052%,12.1287%,7.4468,123
嘉義縣東石鄉,25.2799%,60.9245%,13.7956%,7.5614,124
高雄市杉林區,28.0375%,62.4573%,9.5051%,7.7652,125
新北市三芝區,37.3986%,52.2128%,10.3885%,7.8554,126
臺南市北區,26.1285%,62.1739%,11.6976%,7.8789,127
彰化縣芬園鄉,24.5255%,59.6761%,15.7983%,7.9897,128
南投縣國姓鄉,32.7396%,49.8128%,17.4476%,7.9937,129
澎湖縣白沙鄉,32.1458%,49.9861%,17.8681%,8.0081,130
南投縣南投市,33.2539%,49.6759%,17.0703%,8.0202,131
基隆市中山區,32.7285%,49.6995%,17.572%,8.1526,132
彰化縣埔心鄉,24.7054%,61.0735%,14.221%,8.1591,133
宜蘭縣羅東鎮,25.74%,62.501%,11.759%,8.3651,134
澎湖縣湖西鄉,24.0629%,59.0375%,16.8996%,8.5832,135
雲林縣斗南鎮,25.8386%,62.7953%,11.3661%,8.5899,136
臺北市內湖區,37.7981%,50.8118%,11.3901%,8.715,137
臺南市新營區,25.421%,62.717%,11.8619%,8.7207,138
苗栗縣苑裡鎮,25.4838%,62.7692%,11.747%,8.7337,139
臺中市神岡區,24.4788%,61.8354%,13.6858%,8.7425,140
桃園市觀音區,24.6465%,62.0871%,13.2663%,8.7558,141
南投縣名間鄉,25.149%,62.5933%,12.2577%,8.7719,142
臺北市大同區,26.6413%,63.3475%,10.0112%,8.9212,143
宜蘭縣礁溪鄉,25.3793%,62.9275%,11.6932%,8.9275,144
苗栗縣竹南鎮,31.8139%,49.3876%,18.7985%,9.0237,145
彰化縣芳苑鄉,24.2903%,62.1891%,13.5206%,9.1025,146
